"Zona","Año","Mes","Media","Min","Max","n","Dia","Date"
"Z1",1981,1,18.295,12.7,23.9,40,28,1981-01-28
"Z1",1981,2,18.5875,12.4,24,40,28,1981-02-28
"Z1",1981,3,18.8125,12.4,24.1,40,28,1981-03-28
"Z1",1981,4,18.585,11.6,23.2,40,28,1981-04-28
"Z1",1981,5,18.4825,11.7,22.6,40,28,1981-05-28
"Z1",1981,6,18.4775,11.8,22.9,40,28,1981-06-28
"Z1",1981,7,18.5625,11.7,23,40,28,1981-07-28
"Z1",1981,8,18.695,11.5,23.6,40,28,1981-08-28
"Z1",1981,9,18.685,11.4,23.7,40,28,1981-09-28
"Z1",1981,10,18.2625,11.3,23.1,40,28,1981-10-28
"Z1",1981,11,18.31,11,23,40,28,1981-11-28
"Z1",1981,12,18.365,11.3,23.1,40,28,1981-12-28
"Z1",1982,1,18.1425,11,23.5,40,28,1982-01-28
"Z1",1982,2,18.26,11.2,23.3,40,28,1982-02-28
"Z1",1982,3,18.535,11.2,23.4,40,28,1982-03-28
"Z1",1982,4,18.3425,11.4,22.4,40,28,1982-04-28
"Z1",1982,5,18.475,11.6,22.8,40,28,1982-05-28
"Z1",1982,6,19.06,11.8,23.7,40,28,1982-06-28
"Z1",1982,7,18.945,11.3,23.8,40,28,1982-07-28
"Z1",1982,8,19.505,11.4,25.1,40,28,1982-08-28
"Z1",1982,9,18.96,11.5,24.5,40,28,1982-09-28
"Z1",1982,10,18.26,10.9,22.8,40,28,1982-10-28
"Z1",1982,11,18.55,11.3,23.1,40,28,1982-11-28
"Z1",1982,12,18.525,11.3,22.9,40,28,1982-12-28
"Z1",1983,1,19.5,12.5,24.5,40,28,1983-01-28
"Z1",1983,2,19.73,12.9,25.3,40,28,1983-02-28
"Z1",1983,3,19.8475,13,24.9,40,28,1983-03-28
"Z1",1983,4,19.3825,12.3,23.8,40,28,1983-04-28
"Z1",1983,5,19.6825,13,24.6,40,28,1983-05-28
"Z1",1983,6,19.5675,12.4,24.5,40,28,1983-06-28
"Z1",1983,7,19.59,11.9,24.7,40,28,1983-07-28
"Z1",1983,8,19.5925,11.9,25.1,40,28,1983-08-28
"Z1",1983,9,19.2075,11.4,25.2,40,28,1983-09-28
"Z1",1983,10,18.6725,11.1,23.9,40,28,1983-10-28
"Z1",1983,11,18.695,11.6,23.6,40,28,1983-11-28
"Z1",1983,12,18.015,10.7,22.6,40,28,1983-12-28
"Z1",1984,1,17.7675,10.6,22.6,40,28,1984-01-28
"Z1",1984,2,18.1225,11.1,22.8,40,28,1984-02-28
"Z1",1984,3,18.7025,11.1,23.7,40,28,1984-03-28
"Z1",1984,4,18.605,11.1,23.6,40,28,1984-04-28
"Z1",1984,5,18.4475,11.2,23.8,40,28,1984-05-28
"Z1",1984,6,18.4525,11.7,22.9,40,28,1984-06-28
"Z1",1984,7,18.215,11.3,22.7,40,28,1984-07-28
"Z1",1984,8,18.625,11.8,23.5,40,28,1984-08-28
"Z1",1984,9,18.01,11.3,22.8,40,28,1984-09-28
"Z1",1984,10,18.05,10.9,23.7,40,28,1984-10-28
"Z1",1984,11,17.795,10.8,23.2,40,28,1984-11-28
"Z1",1984,12,18.3275,11.6,23.9,40,28,1984-12-28
"Z1",1985,1,17.8875,10.6,23.7,40,28,1985-01-28
"Z1",1985,2,18.58,11.2,24.3,40,28,1985-02-28
"Z1",1985,3,18.775,11.8,24.4,40,28,1985-03-28
"Z1",1985,4,18.685,11.2,23.8,40,28,1985-04-28
"Z1",1985,5,18.7525,11.6,24.1,40,28,1985-05-28
"Z1",1985,6,19.0225,11.6,23.8,40,28,1985-06-28
"Z1",1985,7,18.7175,10.9,23.6,40,28,1985-07-28
"Z1",1985,8,18.59,11.2,23.4,40,28,1985-08-28
"Z1",1985,9,18.625,10.5,23.7,40,28,1985-09-28
"Z1",1985,10,18.3575,10.7,23.4,40,28,1985-10-28
"Z1",1985,11,18.105,10.8,23,40,28,1985-11-28
"Z1",1985,12,18.2775,10.9,23.4,40,28,1985-12-28
"Z1",1986,1,18.505,11.2,23.7,40,28,1986-01-28
"Z1",1986,2,18.0675,10.3,23.5,40,28,1986-02-28
"Z1",1986,3,18.4625,11,23.4,40,28,1986-03-28
"Z1",1986,4,18.8325,12.1,23.3,40,28,1986-04-28
"Z1",1986,5,19.02,12.3,23.5,40,28,1986-05-28
"Z1",1986,6,18.825,11.7,23.1,40,28,1986-06-28
"Z1",1986,7,19.2125,11.3,23.6,40,28,1986-07-28
"Z1",1986,8,19.4025,11.7,24.5,40,28,1986-08-28
"Z1",1986,9,19.14,11.7,24,40,28,1986-09-28
"Z1",1986,10,18.2525,10.8,22.7,40,28,1986-10-28
"Z1",1986,11,18.55,11,23.3,40,28,1986-11-28
"Z1",1986,12,18.8575,11.8,23.7,40,28,1986-12-28
"Z1",1987,1,19.0825,12,24.2,40,28,1987-01-28
"Z1",1987,2,19.7425,12.6,25.6,40,28,1987-02-28
"Z1",1987,3,19.525,12.2,25.2,40,28,1987-03-28
"Z1",1987,4,19.545,12.5,24.3,40,28,1987-04-28
"Z1",1987,5,19.36,12.5,23.6,40,28,1987-05-28
"Z1",1987,6,19.7375,12.7,24,40,28,1987-06-28
"Z1",1987,7,19.535,12.3,24.2,40,28,1987-07-28
"Z1",1987,8,19.49,12.1,24.1,40,28,1987-08-28
"Z1",1987,9,19.22,12.2,24.3,40,28,1987-09-28
"Z1",1987,10,18.6725,11.6,23.5,40,28,1987-10-28
"Z1",1987,11,18.99,11.9,24.9,40,28,1987-11-28
"Z1",1987,12,19.16,12.3,25.4,40,28,1987-12-28
"Z1",1988,1,19.1475,12.2,25.9,40,28,1988-01-28
"Z1",1988,2,19.085,12.3,24.9,40,28,1988-02-28
"Z1",1988,3,19.485,12.5,25.2,40,28,1988-03-28
"Z1",1988,4,18.925,12,24.6,40,28,1988-04-28
"Z1",1988,5,19.1325,12.5,23.7,40,28,1988-05-28
"Z1",1988,6,18.5725,11.8,23.4,40,28,1988-06-28
"Z1",1988,7,18.71,11.6,22.6,40,28,1988-07-28
"Z1",1988,8,18.4975,11.3,22.9,40,28,1988-08-28
"Z1",1988,9,18.455,11.4,22.9,40,28,1988-09-28
